Id,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,X1stFlrSF,X2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TotalHalfBath,TotalFullBath,TotalFinSF,AbvGrndRoomSize,YrSold_Garage_Difference,hasDeck,hasOpenPorch,hasEnlosedPorch,hasX3SsnPorch,hasScreenPorch,hasPool,hasFence,Set
1,2-story (Newer),Low Density,65,9.04192172,Reg,Lvl,Inside,Gtl,CollgCr,Normal,1Fam,2-story,7,5,1.791759469,1,Gable,Shingle,Synthetic,Synthetic,Stone,5.283203729,3,2,PConc,4,3,1,6,6.561030666,1,0,5.017279837,6.753437919,GasA,4,Y,SBrkr,6.753437919,6.751101469,0,7.444248649,1,0,2,1,3,1,4,8,Typ,0,0,5,2003,5,2,6.308098442,3,3,Y,0,4.127134385,0,0,0,2,2008,Warranty Deed,Normal,208500,1,3,7.789868559,213.75,1.791759469,No,Yes,No,No,No,0,0,Train
2,1-Story (Newer),Low Density,80,9.169518377,Reg,Lvl,FR2,Gtl,Veenker,Near Street,1Fam,1-story,6,8,3.465735903,1,Gable,Shingle,Stucco,Stucco,None,0,2,2,CBlock,4,3,4,5,6.886531643,1,0,5.65248918,7.141245122,GasA,4,Y,SBrkr,7.141245122,0,0,7.140453043,0,1,2,0,3,1,3,6,Typ,1,3,5,1976,5,2,6.133398043,3,3,Y,5.700443573,0,0,0,0,5,2007,Warranty Deed,Normal,181500,1,2,7.714231145,210.3333333,3.465735903,Yes,No,No,No,No,0,0,Train
3,2-story (Newer),Low Density,68,9.328123408,IR1,Lvl,Inside,Gtl,CollgCr,Normal,1Fam,2-story,7,5,2.079441542,0,Gable,Shingle,Synthetic,Synthetic,Stone,5.093750201,3,2,PConc,4,3,2,6,6.188264123,1,0,6.075346031,6.825460036,GasA,4,Y,SBrkr,6.825460036,6.765038977,0,7.487733761,1,0,2,1,3,1,4,6,Typ,1,3,5,2001,5,2,6.411818268,3,3,Y,0,3.761200116,0,0,0,9,2008,Warranty Deed,Normal,223500,1,3,7.72841578,297.6666667,2.079441542,No,Yes,No,No,No,0,0,Train
4,2-story (Older),Low Density,60,9.164296433,IR1,Lvl,Corner,Gtl,Crawfor,Normal,1Fam,2-story,7,5,4.521788577,0,Gable,Shingle,Stucco,Stucco,None,0,2,2,BrkTil,3,4,1,5,5.379897354,1,0,6.293419279,6.629363253,GasA,3,Y,SBrkr,6.869014451,6.629363253,0,7.448333861,1,0,1,0,3,1,4,7,Typ,1,4,5,1998,5,3,6.466144724,3,3,Y,0,3.583518938,5.609471795,0,0,2,2006,Warranty Deed,Abnorml,140000,0,2,7.566828479,245.2857143,2.197224577,No,Yes,Yes,No,No,0,0,Train
5,2-story (Newer),Low Density,84,9.565213694,IR1,Lvl,FR2,Gtl,NoRidge,Normal,1Fam,2-story,8,5,2.197224577,1,Gable,Shingle,Synthetic,Synthetic,Stone,5.860786223,3,2,PConc,4,3,3,6,6.486160789,1,0,6.196444128,7.044032897,GasA,4,Y,SBrkr,7.044032897,6.960347729,0,7.695303135,1,0,2,1,4,1,4,9,Typ,1,3,5,2000,5,3,6.72982407,3,3,Y,5.262690189,4.442651256,0,0,0,12,2008,Warranty Deed,Normal,250000,1,3,7.956126351,244.2222222,2.197224577,Yes,Yes,No,No,No,0,0,Train
6,1-1/2 Story,Low Density,85,9.554993341,IR1,Lvl,Inside,Gtl,Mitchel,Normal,1Fam,1-1/2-story,5,5,2.833213344,0,Gable,Shingle,Synthetic,Synthetic,None,0,2,2,Wood,4,3,1,6,6.597145702,1,0,4.17438727,6.680854679,GasA,4,Y,SBrkr,6.680854679,6.340359304,0,7.216709487,1,0,1,1,1,1,3,5,Typ,0,0,5,1993,5,2,6.17586727,3,3,Y,3.713572067,3.433987204,0,0,6.552507887,10,2009,Warranty Deed,Normal,143000,1,2,7.646831391,272.4,2.833213344,Yes,Yes,No,Yes,No,0,1,Train
7,1-Story (Newer),Low Density,75,9.218705288,Reg,Lvl,Inside,Gtl,Somerst,Normal,1Fam,1-story,8,5,1.386294361,0,Gable,Shingle,Synthetic,Synthetic,Stone,5.231108617,3,2,PConc,5,3,3,6,7.222566019,1,0,5.762051383,7.430707083,GasA,4,Y,SBrkr,7.43543802,0,0,7.434847875,1,0,2,0,3,1,4,7,Typ,1,4,5,2004,5,2,6.456769656,3,3,Y,5.545177444,4.060443011,0,0,0,8,2007,Warranty Deed,Normal,307000,0,3,8.027150107,242,1.386294361,Yes,Yes,No,No,No,0,0,Train
8,2-story (Newer),Low Density,72.2,9.247828816,IR1,Lvl,Corner,Gtl,NWAmes,Near Positive Feature,1Fam,2-story,7,6,3.610917913,1,Gable,Shingle,Ply,Ply,Stone,5.484796933,2,2,CBlock,4,3,2,5,6.756932389,4,3.496507561,5.379897354,7.010311867,GasA,4,Y,SBrkr,7.010311867,6.891625897,0,7.644919345,1,0,2,1,3,1,3,7,Typ,2,3,5,1973,5,2,6.184148891,3,3,Y,5.463831805,5.323009979,5.433722004,0,5.860786223,11,2009,Warranty Deed,Normal,200000,1,3,8.000014094,298.5714286,3.610917913,Yes,Yes,Yes,No,No,0,0,Train
9,1-1/2 Story,Medium-High Density,51,8.719317376,Reg,Lvl,Inside,Gtl,OldTown,Near Street,1Fam,1-1/2-story,7,5,4.356708827,0,Gable,Shingle,Brick,Stucco,None,0,2,2,BrkTil,3,3,1,1,0,1,0,6.859614904,6.859614904,GasA,3,Y,FuseF,6.930494766,6.624065228,0,7.480992163,0,0,2,0,2,2,3,8,Min1,2,3,5,1931,5,2,6.150602768,2,3,Y,4.510859507,0,5.327876169,0,0,4,2008,Warranty Deed,Abnorml,129900,0,2,7.480992163,221.75,4.356708827,Yes,No,Yes,No,No,0,0,Train
10,Projects,Low Density,50,8.911934336,Reg,Lvl,Corner,Gtl,BrkSide,Near Street,2fmCon,1-1/2-story,5,6,4.248495242,0,Gable,Shingle,Stucco,Stucco,None,0,2,2,BrkTil,3,3,1,6,6.747586527,1,0,4.94875989,6.899723107,GasA,4,Y,SBrkr,6.982862751,0,0,6.981934677,1,0,1,0,2,2,3,5,Typ,2,3,5,1939,5,1,5.327876169,4,3,Y,0,1.609437912,0,0,0,1,2008,Warranty Deed,Normal,118000,0,2,7.564238475,215.4,4.248495242,No,Yes,No,No,No,0,0,Train
