"","Id","MSSubClass","MSZoning","LotFrontage","LotArea","LotShape","LandContour","LotConfig","LandSlope","Neighborhood","Condition1","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","ScreenPorch","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice","TotalHalfBath","TotalFullBath","TotalFinSF","AbvGrndRoomSize","YrSold_Garage_Difference","hasDeck","hasOpenPorch","hasEnlosedPorch","hasX3SsnPorch","hasScreenPorch","hasPool","hasFence"
"1",1,"2 story newer","low density",65,9.04192172035122,"Reg","Lvl","Inside","Gtl","CollgCr","Normal","1Fam","2 stories",7,5,1.79175946922805,1,"Gable","Shingle","Synthetic","Synthetic","Brick",5.28320372873799,"3","2","PConc",4,3,1,"6",6.56103066589657,1,0,5.01727983681492,6.75343791859778,"GasA",4,"Y","SBrkr",6.75343791859778,6.75110146893676,0,-Inf,1,0,2,1,3,1,5,8,"Typ",0,0,5,2003,5,2,6.30809844150953,3,3,"Y",0,4.12713438504509,0,0,0,2,2008,"Warranty Deed","Normal",208500,1,3,7.78986855905471,213.75,1.79175946922805,"No","Yes","No","No","No",0,0
"2",2,"1 story (new styles)","low density",80,9.16951837745593,"Reg","Lvl","FR2","Gtl","Veenker","near street","1Fam","1 story",6,8,3.46573590279973,1,"Gable","Shingle","Stucco","Stucco","None",0,"2","2","CBlock",4,3,4,"5",6.88653164253051,1,0,5.65248918026865,7.14124512235049,"GasA",4,"Y","SBrkr",7.14124512235049,0,0,-Inf,0,1,2,0,3,1,5,6,"Typ",1,3,5,1976,5,2,6.13339804299665,3,3,"Y",5.70044357339069,0,0,0,0,5,2007,"Warranty Deed","Normal",181500,1,2,7.71423114484909,210.333333333333,3.46573590279973,"Yes","No","No","No","No",0,0
"3",3,"2 story newer","low density",68,9.32812340763257,"IR1","Lvl","Inside","Gtl","CollgCr","Normal","1Fam","2 stories",7,5,2.07944154167984,0,"Gable","Shingle","Synthetic","Synthetic","Brick",5.09375020080676,"3","2","PConc",4,3,2,"6",6.18826412308259,1,0,6.07534603108868,6.82546003625531,"GasA",4,"Y","SBrkr",6.82546003625531,6.76503897678054,0,-Inf,1,0,2,1,3,1,5,6,"Typ",1,3,5,2001,5,2,6.4118182677099,3,3,"Y",0,3.76120011569356,0,0,0,9,2008,"Warranty Deed","Normal",223500,1,3,7.72841577984104,297.666666666667,2.07944154167984,"No","Yes","No","No","No",0,0
"4",4,"2 story older","low density",60,9.16429643347478,"IR1","Lvl","Corner","Gtl","Crawfor","Normal","1Fam","2 stories",7,5,4.52178857704904,0,"Gable","Shingle","Stucco","Stucco","None",0,"2","2","BrkTil",3,4,1,"5",5.37989735354046,1,0,6.29341927884648,6.62936325343745,"GasA",3,"Y","SBrkr",6.86901445066571,6.62936325343745,0,-Inf,1,0,1,0,3,1,5,7,"Typ",1,4,5,1998,5,3,6.46614472423762,3,3,"Y",0,3.58351893845611,5.60947179518496,0,0,2,2006,"Warranty Deed","Abnorml",140000,0,2,7.56682847920833,245.285714285714,2.19722457733622,"No","Yes","Yes","No","No",0,0
"5",5,"2 story newer","low density",84,9.56521369396829,"IR1","Lvl","FR2","Gtl","NoRidge","Normal","1Fam","2 stories",8,5,2.19722457733622,1,"Gable","Shingle","Synthetic","Synthetic","Brick",5.86078622346587,"3","2","PConc",4,3,3,"6",6.48616078894409,1,0,6.19644412779452,7.04403289727469,"GasA",4,"Y","SBrkr",7.04403289727469,6.96034772910131,0,-Inf,1,0,2,1,4,1,5,9,"Typ",1,3,5,2000,5,3,6.72982407048948,3,3,"Y",5.26269018890489,4.44265125649032,0,0,0,12,2008,"Warranty Deed","Normal",250000,1,3,7.9561263512135,244.222222222222,2.19722457733622,"Yes","Yes","No","No","No",0,0
"6",6,"1.5 stories","low density",85,9.55499334068759,"IR1","Lvl","Inside","Gtl","Mitchel","Normal","1Fam","1.5 stories",5,5,2.83321334405622,0,"Gable","Shingle","Synthetic","Synthetic","None",0,"2","2","Wood",4,3,1,"6",6.59714570188665,1,0,4.17438726989564,6.68085467879022,"GasA",4,"Y","SBrkr",6.68085467879022,6.34035930372775,0,-Inf,1,0,1,1,1,1,5,5,"Typ",0,0,5,1993,5,2,6.17586727010576,3,3,"Y",3.71357206670431,3.43398720448515,0,0,6.55250788703459,10,2009,"Warranty Deed","Normal",143000,1,2,7.64683139143048,272.4,2.83321334405622,"Yes","Yes","No","Yes","No",0,1
"7",7,"1 story (new styles)","low density",75,9.21870528830781,"Reg","Lvl","Inside","Gtl","Somerst","Normal","1Fam","1 story",8,5,1.38629436111989,0,"Gable","Shingle","Synthetic","Synthetic","Stone",5.23110861685459,"3","2","PConc",5,3,3,"6",7.22256601882217,1,0,5.76205138278018,7.43070708254597,"GasA",4,"Y","SBrkr",7.43543801981455,0,0,-Inf,1,0,2,0,3,1,5,7,"Typ",1,4,5,2004,5,2,6.45676965557216,3,3,"Y",5.54517744447956,4.06044301054642,0,0,0,8,2007,"Warranty Deed","Normal",307000,0,3,8.02715010683277,242,1.38629436111989,"Yes","Yes","No","No","No",0,0
"8",8,"2 story newer","low density",75.6,9.24782881638717,"IR1","Lvl","Corner","Gtl","NWAmes","near positive feature","1Fam","2 stories",7,6,3.61091791264422,1,"Gable","Shingle","Ply","Ply","Stone",5.48479693349065,"2","2","CBlock",4,3,2,"5",6.75693238924755,4,3.49650756146648,5.37989735354046,7.01031186730723,"GasA",4,"Y","SBrkr",7.01031186730723,6.89162589705225,0,-Inf,1,0,2,1,3,1,5,7,"Typ",2,3,5,1973,5,2,6.18414889093748,3,3,"Y",5.46383180502561,5.32300997913841,5.43372200355424,0,5.86078622346587,11,2009,"Warranty Deed","Normal",2e+05,1,3,8.00001409367807,298.571428571429,3.61091791264422,"Yes","Yes","Yes","No","No",0,0
"9",9,"1.5 stories","medium-high density",51,8.71931737550637,"Reg","Lvl","Inside","Gtl","OldTown","near street","1Fam","1.5 stories",7,5,4.35670882668959,0,"Gable","Shingle","Brick","Stucco","None",0,"2","2","BrkTil",3,3,1,"1",0,1,0,6.8596149036542,6.8596149036542,"GasA",3,"Y","FuseF",6.93049476595163,6.62406522779989,0,-Inf,0,0,2,0,2,2,5,8,"Min1",2,3,5,1931,5,2,6.15060276844628,2,3,"Y",4.51085950651685,0,5.32787616878958,0,0,4,2008,"Warranty Deed","Abnorml",129900,0,2,7.48099216286952,221.75,4.35670882668959,"Yes","No","Yes","No","No",0,0
"10",10,"projects","low density",50,8.91193433616143,"Reg","Lvl","Corner","Gtl","BrkSide","near street","2fmCon","1.5 stories",5,6,4.24849524204936,0,"Gable","Shingle","Stucco","Stucco","None",0,"2","2","BrkTil",3,3,1,"6",6.74758652682932,1,0,4.94875989037817,6.89972310728487,"GasA",4,"Y","SBrkr",6.98286275146894,0,0,-Inf,1,0,1,0,2,2,5,5,"Typ",2,3,5,1939,5,1,5.32787616878958,4,3,"Y",0,1.6094379124341,0,0,0,1,2008,"Warranty Deed","Normal",118000,0,2,7.56423847517049,215.4,4.24849524204936,"No","Yes","No","No","No",0,0
