,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,X1stFlrSF,X2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,MiscVal,MoSold,YrSold,YrSold_Garage_Difference,hasPool,hasFence,TotalHalfBath,TotalFullBath,TotalFinSF,AbvGrndRoomSize,MSSubClass_1-Story (Newer),MSSubClass_1-Story (Older),MSSubClass_2-story (Newer),MSSubClass_2-story (Older),MSSubClass_Duplex,MSSubClass_Projects,MSSubClass_Split,MSZoning_Low Density,MSZoning_Medium-High Density,MSZoning_Other,LotShape_IR2,LotShape_IR3,LotShape_Reg,LandContour_HLS,LandContour_Low,LandContour_Lvl,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,LandSlope_Mod,LandSlope_Sev,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Condition1_Near Railroad,Condition1_Near Street,Condition1_Normal,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,HouseStyle_1-story,HouseStyle_2-story,HouseStyle_Split,RoofStyle_Gable,RoofStyle_Gambrel,RoofStyle_Hip,RoofStyle_Mansard,RoofStyle_Shed,RoofMatl_Metal,RoofMatl_Shingle,RoofMatl_Wood,Exterior1st_Concrete,Exterior1st_Ply,Exterior1st_Shingle,Exterior1st_Stone,Exterior1st_Stucco,Exterior1st_Synthetic,Exterior2nd_Concrete,Exterior2nd_Other,Exterior2nd_Ply,Exterior2nd_Shingle,Exterior2nd_Stone,Exterior2nd_Stucco,Exterior2nd_Synthetic,MasVnrType_Stone,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,Heating_GasA,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall,CentralAir_Y,Electrical_FuseF,Electrical_FuseP,Electrical_Mix,Electrical_None,Electrical_SBrkr,Functional_Maj2,Functional_Min1,Functional_Min2,Functional_Mod,Functional_Sev,Functional_Typ,PavedDrive_P,PavedDrive_Y,SaleType_LowInterest_DownPayment,SaleType_New Home,SaleType_Other,SaleType_Regular Terms,SaleType_Warranty Deed,SaleCondition_AdjLand,SaleCondition_Alloca,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Partial,hasDeck_Yes,hasOpenPorch_Yes,hasEnlosedPorch_Yes,hasX3SsnPorch_Yes,hasScreenPorch_Yes
0,65.0,9.04192172035122,7,5,1.79175946922805,1,5.28320372873799,3,2,4,3,1,6,6.5610306658965705,1,0.0,5.01727983681492,6.753437918597781,4,6.753437918597781,6.751101468936759,0.0,7.444248649496711,1,0,2,1,3,1,4,8,0,0,5,2003,5,2,6.3080984415095305,3,3,0.0,4.12713438504509,0.0,0.0,0.0,2,2008,1.79175946922805,0,0,1,3,2.6394343524898596,0.930531081187088,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
1,80.0,9.16951837745593,6,8,3.4657359027997297,1,0.0,2,2,4,3,4,5,6.886531642530509,1,0.0,5.65248918026865,7.14124512235049,4,7.14124512235049,0.0,0.0,7.140453043101161,0,1,2,0,3,1,3,6,1,3,5,1976,5,2,6.133398042996651,3,3,5.70044357339069,0.0,0.0,0.0,0.0,5,2007,3.4657359027997297,0,0,1,2,2.64098295195906,1.19007550718353,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
2,68.0,9.328123407632571,7,5,2.07944154167984,0,5.09375020080676,3,2,4,3,2,6,6.18826412308259,1,0.0,6.07534603108868,6.8254600362553095,4,6.8254600362553095,6.76503897678054,0.0,7.4877337614364405,1,0,2,1,3,1,4,6,1,3,5,2001,5,2,6.4118182677099,3,3,0.0,3.76120011569356,0.0,0.0,0.0,9,2008,2.07944154167984,0,0,1,3,2.6156423170913903,1.24795562690607,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
3,60.0,9.16429643347478,7,5,4.5217885770490405,0,0.0,2,2,3,4,1,5,5.37989735354046,1,0.0,6.293419278846481,6.62936325343745,3,6.86901445066571,6.62936325343745,0.0,7.44833386089748,1,0,1,0,3,1,4,7,1,4,5,1998,5,3,6.46614472423762,3,3,0.0,3.58351893845611,5.609471795184961,0.0,0.0,2,2006,2.19722457733622,0,0,0,2,2.5516483058685,1.06404769441393,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
4,84.0,9.565213693968289,8,5,2.19722457733622,1,5.860786223465871,3,2,4,3,3,6,6.4861607889440895,1,0.0,6.1964441277945195,7.044032897274691,4,7.044032897274691,6.96034772910131,0.0,7.695303134963571,1,0,2,1,4,1,4,9,1,3,5,2000,5,3,6.729824070489481,3,3,5.26269018890489,4.44265125649032,0.0,0.0,0.0,12,2008,2.19722457733622,0,0,1,3,2.65193575441471,0.855033681662619,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
5,85.0,9.55499334068759,5,5,2.83321334405622,0,0.0,2,2,4,3,1,6,6.59714570188665,1,0.0,4.17438726989564,6.68085467879022,4,6.68085467879022,6.34035930372775,0.0,7.21670948670946,1,0,1,1,1,1,3,5,0,0,5,1993,5,2,6.17586727010576,3,3,3.71357206670431,3.43398720448515,0.0,0.0,6.55250788703459,10,2009,2.83321334405622,0,1,1,2,2.62567208766671,1.4433418973418901,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0
6,75.0,9.218705288307811,8,5,1.38629436111989,0,5.2311086168545895,3,2,5,3,3,6,7.22256601882217,1,0.0,5.76205138278018,7.430707082545969,4,7.4354380198145495,0.0,0.0,7.434847875211999,1,0,2,0,3,1,4,7,1,4,5,2004,5,2,6.4567696555721605,3,3,5.54517744447956,4.06044301054642,0.0,0.0,0.0,8,2007,1.38629436111989,0,0,0,3,2.68494627530609,1.06212112503029,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
7,,9.24782881638717,7,6,3.61091791264422,1,5.48479693349065,2,2,4,3,2,5,6.75693238924755,4,3.49650756146648,5.37989735354046,7.01031186730723,4,7.01031186730723,6.89162589705225,0.0,7.644919344958861,1,0,2,1,3,1,3,7,2,3,5,1973,5,2,6.184148890937481,3,3,5.4638318050256105,5.32300997913841,5.433722003554241,0.0,5.860786223465871,11,2009,3.61091791264422,0,0,1,3,2.88470904918611,1.09213133499412,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0
8,51.0,8.71931737550637,7,5,4.35670882668959,0,0.0,2,2,3,3,1,1,0.0,1,0.0,6.8596149036542,6.8596149036542,3,6.93049476595163,6.62406522779989,0.0,7.480992162869519,0,0,2,0,2,2,3,8,2,3,5,1931,5,2,6.15060276844628,2,3,4.51085950651685,0.0,5.3278761687895795,0.0,0.0,4,2008,4.35670882668959,0,0,0,2,2.01236542528506,0.9351240203586909,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
9,50.0,8.91193433616143,5,6,4.248495242049359,0,0.0,2,2,3,3,1,6,6.74758652682932,1,0.0,4.94875989037817,6.89972310728487,4,6.982862751468941,0.0,0.0,6.98193467715639,1,0,1,0,2,2,3,5,2,3,5,1939,5,1,5.3278761687895795,4,3,0.0,1.6094379124341003,0.0,0.0,0.0,1,2008,4.248495242049359,0,0,0,2,2.61954834692024,1.3963869354312801,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
